№,title,price,picture
1,  DIGMA    / Ноутбук Magnus M Ryzen 5 5600U 16Gb SSD512Gb W11P             ,                      52 691 ₽                  92 523 ₽   ,https://basket-11.wbbasket.ru/vol1628/part162896/162896740/images/c516x688/1.webp
2,  TopTrend    / Ноутбук FRBBY V16 Pro             ,                      25 925 ₽                  50 000 ₽   ,https://basket-12.wbbasket.ru/vol1886/part188649/188649197/images/c516x688/1.webp
3,     lenovo    / Игровой ноутбук Legion Pro 5 16IRX8 [82WK003VRK]             ,                      139 025 ₽                  187 999 ₽   ,https://basket-13.wbbasket.ru/vol1960/part196045/196045518/images/c516x688/1.webp
4,"     lenovo    / Ноутбук ThinkPad T480 i5-8250U 14""             ",                      32 663 ₽                  81 762 ₽   ,https://basket-10.wbbasket.ru/vol1586/part158602/158602316/images/c516x688/1.webp
5,     Infinix    / Inbook Y1 NEO XL30             ,                      27 668 ₽                  36 990 ₽   ,https://basket-12.wbbasket.ru/vol1776/part177640/177640375/images/c516x688/1.webp
6,     Asus    / Ноутбук Vivobook Go 14 E1404FA-EB045 [90NB0ZS2-M00670]             ,                      38 573 ₽                  50 990 ₽   ,https://basket-13.wbbasket.ru/vol1965/part196503/196503330/images/c516x688/1.webp
7,"  CHUWI    / Ноутбук Corebook X 14'',Intel i5-1235U, Win11 HOME             ",                      42 423 ₽                  49 910 ₽   ,https://basket-10.wbbasket.ru/vol1510/part151049/151049767/images/c516x688/1.webp
8,  MAIBENBEN    / Ноутбук P415 i3-1115G4 3000x2000 8ГБ+512ГБ Сенсорный экран             ,                      33 999 ₽                  39 999 ₽   ,https://basket-12.wbbasket.ru/vol1827/part182780/182780413/images/c516x688/1.webp
9,     Acer    / Игровой ноутбук Nitro 5 AN515-58-56W4 [NH.QFJER.002]             ,                      78 465 ₽                  115 390 ₽   ,https://basket-12.wbbasket.ru/vol1723/part172331/172331047/images/c516x688/1.webp
10,     Infinix    / Inbook Y1 PLUS 10TH XL28             ,                      35 692 ₽                  49 990 ₽   ,https://basket-12.wbbasket.ru/vol1776/part177648/177648109/images/c516x688/1.webp
11,"  Smartx    / Ноутбук 14.1"" W10pro SSD512GB Intel Celeron J4105 6 GB             ",                      21 705 ₽                  39 900 ₽   ,https://basket-12.wbbasket.ru/vol1692/part169234/169234407/images/c516x688/1.webp
12,"  Compolis    / Ноутбук 15.6"" IPS 4-Ядра 16GB SSD 512GB             ",                      31 900 ₽                  75 059 ₽   ,https://basket-12.wbbasket.ru/vol1695/part169592/169592183/images/c516x688/1.webp
13,"  Frbby    / Ноутбук V10 14"" IPS 4-Ядра 1920х1080 FHD RAM 8Gb SSD 256Gb             ",                      20 400 ₽                  30 000 ₽   ,https://basket-13.wbbasket.ru/vol1949/part194904/194904865/images/c516x688/1.webp
14,     Asus    / Ноутбук ROG i7 16Gb 512Gb 3050Ti DOS [90NR0941-M002E0]             ,                      98 611 ₽                  134 900 ₽   ,https://basket-12.wbbasket.ru/vol1711/part171184/171184641/images/c516x688/1.webp
15,"  Ноутбук 14"" IPS 4-Ядра 8GB SSD 256GB    / Ноутбук 14"" 4-Ядра IPS 1920х1080 FHD RAM 8Gb SSD 256Gb             ",                      18 492 ₽                  29 400 ₽   ,https://basket-13.wbbasket.ru/vol2023/part202373/202373744/images/c516x688/1.webp
16,"  Xiaomi    / Ноутбук RedmiBook 15.6, i7-11390H, RAM 8 ГБ SSD 512 Win 11             ",                      55 155 ₽                  64 889 ₽   ,https://basket-13.wbbasket.ru/vol2028/part202806/202806006/images/c516x688/1.webp
17,"  DeltaTech    / Ноутбук 15.6"" IPS 4-Ядра RAM DDR5 12GB SSD 512GB (M.2)             ",                      37 064 ₽                  88 990 ₽   ,https://basket-10.wbbasket.ru/vol1594/part159496/159496818/images/c516x688/1.webp
18,"  DeltaTech    / Ноутбук игровой i7 1260P MX 550 16"" 20GB DDR4 SSD 512GB             ",                      72 924 ₽                  129 990 ₽   ,https://basket-12.wbbasket.ru/vol1762/part176261/176261398/images/c516x688/1.webp
19,"  DeltaTech    / Ноутбук сенсорный 15.6"" IPS 4-Ядра RAM 12GB DDR5 и SSD 512GB             ",                      52 014 ₽                  101 990 ₽   ,https://basket-11.wbbasket.ru/vol1639/part163986/163986624/images/c516x688/1.webp
20,"  CHUWI    / Ноутбук Corebook X 14'',Intel i5-1235U, Win11 HOME             ",                      40 026 ₽                  47 090 ₽   ,https://basket-10.wbbasket.ru/vol1510/part151049/151049766/images/c516x688/1.webp
21,     lenovo    / Игровой ноутбук Legion Pro 7 16IRX8 [82WR000VRK]             ,                      205 784 ₽                  268 999 ₽   ,https://basket-13.wbbasket.ru/vol1960/part196045/196045521/images/c516x688/1.webp
22,     Acer    / Ноутбук EX215-22-R5D4 15.6 Ryzen 3 8Gb (NX.EG9ER.02M)             ,                      40 542 ₽                  46 600 ₽   ,https://basket-10.wbbasket.ru/vol1497/part149763/149763680/images/c516x688/1.webp
23,     Apple    / MacBook Air 13 M2 8 512 (Space Grey)             ,                      135 993 ₽                  199 990 ₽   ,https://basket-12.wbbasket.ru/vol1722/part172229/172229456/images/c516x688/1.webp
24,"  DIGMA    / Ноутбук EVE 15 C423 15.6"" Ryzen 3 3200U 16Gb SSD512Gb W11Pro             ",                      30 591 ₽                  47 987 ₽   ,https://basket-10.wbbasket.ru/vol1530/part153035/153035406/images/c516x688/1.webp
25,"     lenovo    / Ноутбук 82HL005TRK(Cel 15,6 1Тб 4Гб UMA noOS)             ",                      29 380 ₽                  37 190 ₽   ,https://basket-10.wbbasket.ru/vol1388/part138864/138864375/images/c516x688/1.webp
26,"  DIGMA    / Ноутбук EVE 15 C423 15.6"" Ryzen 3 3200U 8Gb SSD512Gb W11Pro             ",                      28 891 ₽                  44 724 ₽   ,https://basket-12.wbbasket.ru/vol1811/part181176/181176233/images/c516x688/1.webp
27,     Acer    / Ноутбук Aspire 3 A314-35 NX.A7SER.00G             ,                      29 648 ₽                  43 600 ₽   ,https://basket-12.wbbasket.ru/vol1723/part172331/172331070/images/c516x688/1.webp
28,     Apple    / MacBook Air 13 M2 8 256 (Space Grey)             ,                      107 433 ₽                  159 990 ₽   ,https://basket-12.wbbasket.ru/vol1722/part172232/172232336/images/c516x688/1.webp
29,     lenovo    / Ноутбук Legion 5 Pro             ,                      155 805 ₽                  183 300 ₽   ,https://basket-13.wbbasket.ru/vol1964/part196451/196451519/images/c516x688/1.webp
30,     Asus    / Ноутбук игровой VivoBook Pro 15 M6500QC-HN089             ,                      79 891 ₽                  117 488 ₽   ,https://basket-10.wbbasket.ru/vol1403/part140304/140304110/images/c516x688/1.webp
